"確定情報","お支払日","ご利用店名（海外ご利用店名／海外都市名）","ご利用日","支払回数","何回目","ご利用金額（円）","現地通貨額・通貨名称・換算レート"
"","","【藤森　健太　様】","","","","",""
"確定","2025年11月10日","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","2025年9月16日","　１","","1,212",""
"確定","2025年11月10日","ウィルビ－クリニック　銀座本院／ＳＢ","2025年9月17日","　１","","2,200",""
"確定","2025年11月10日","トリファ","2025年9月18日","　１","","3,420",""
"確定","2025年11月10日","7-ELEVEN / SEOUL","2025年9月18日","　１","","1,442","　　　　　１３２５０　ウオン　　　　　　　　　０．１０８８４"
"","","","","","","","内海外利用事務手数料　　　　　　　　　　　６円"
"","","","","","","","（内消費税　　　　　　　　　　　　　　　　０円）"
"確定","2025年11月10日","CJ OLIVE YOUNG MYEONG-D / SEOUL","2025年9月19日","　１","","4,869","　　　　　４４７４０　ウオン　　　　　　　　　０．１０８８３"
"","","","","","","","内海外利用事務手数料　　　　　　　　　　２０円"
"","","","","","","","（内消費税　　　　　　　　　　　　　　　　１円）"
"確定","2025年11月10日","EXIMBAY / SEOUL","2025年9月19日","　１","","495","　　　　　　　４９５　エン　　　　　　　　　　１．０００"
"確定","2025年11月10日","COOEO(COOR) / SEOUL","2025年9月19日","リボ","","28,414","　　　　２６１０００　ウオン　　　　　　　　　０．１０８８７"
"","","","","","","","内海外利用事務手数料　　　　　　　　　１２２円"
"","","","","","","","（内消費税　　　　　　　　　　　　　　　１１円）"
"確定","2025年11月10日","GOLD / SEOUL","2025年9月19日","リボ","","32,660","　　　　３０００００　ウオン　　　　　　　　　０．１０８８７"
"","","","","","","","内海外利用事務手数料　　　　　　　　　１４０円"
"","","","","","","","（内消費税　　　　　　　　　　　　　　　１２円）"
"確定","2025年11月10日","7-ELEVEN / SEOUL","2025年9月19日","　１","","250","　　　　　　２３００　ウオン　　　　　　　　　０．１０８７０"
"","","","","","","","内海外利用事務手数料　　　　　　　　　　　１円"
"","","","","","","","（内消費税　　　　　　　　　　　　　　　　０円）"
"確定","2025年11月10日","JOOSIKHOISA SEUTYUDIOPA / DAEGU","2025年9月19日","　１","","630","　　　　　　５８００　ウオン　　　　　　　　　０．１０８６３"
"","","","","","","","内海外利用事務手数料　　　　　　　　　　　２円"
"","","","","","","","（内消費税　　　　　　　　　　　　　　　　０円）"
"確定","2025年11月10日","SPAO MYEONGDONGJEOM / SEOUL","2025年9月19日","　１","","6,836","　　　　　６２８００　ウオン　　　　　　　　　０．１０８８６"
"","","","","","","","内海外利用事務手数料　　　　　　　　　　２９円"
"","","","","","","","（内消費税　　　　　　　　　　　　　　　　２円）"
"確定","2025年11月10日","ＭＪ株式会社","2025年9月20日","　１","","9,920",""
"確定","2025年11月10日","SOLSOT  SEONGSU BR / SEOUL","2025年9月20日","　１","","1,948","　　　　　１７９００　ウオン　　　　　　　　　０．１０８８３"
"","","","","","","","内海外利用事務手数料　　　　　　　　　　　８円"
"","","","","","","","（内消費税　　　　　　　　　　　　　　　　０円）"
"確定","2025年11月10日","BBQ SEOUL CITY HALL BR / SEOUL","2025年9月20日","　１","","3,374","　　　　　３１０００　ウオン　　　　　　　　　０．１０８８４"
"","","","","","","","内海外利用事務手数料　　　　　　　　　　１４円"
"","","","","","","","（内消費税　　　　　　　　　　　　　　　　１円）"
"確定","2025年11月10日","SHEIN.COM / SG","2025年9月20日","　１","","6,421","　　　　　　６４２１　エン　　　　　　　　　　１．０００"
"確定","2025年11月10日","GIREENSUNGHYUNGWAEGUAE / SEOUL","2025年9月20日","　１","","10,886","　　　　１０００００　ウオン　　　　　　　　　０．１０８８６"
"","","","","","","","内海外利用事務手数料　　　　　　　　　　４６円"
