"確定情報","お支払日","ご利用店名（海外ご利用店名／海外都市名）","ご利用日","支払回数","何回目","ご利用金額（円）","現地通貨額・通貨名称・換算レート"
"","","【藤森　健太　様】","","","","",""
"確定","2026年1月13日","ＡＰＰＬＥ．ＣＯＭ／ＢＩＬＬ","2025年11月16日","　１","","2,080",""
"確定","2026年1月13日","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","2025年11月17日","　１","","2,606",""
"確定","2026年1月13日","寿司虎　熊本菊陽店","2025年11月23日","　１","","10,802",""
"確定","2026年1月13日","ユニクロ","2025年11月24日","　１","","-11,010",""
"確定","2026年1月13日","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","2025年11月24日","　１","","1,214",""
"確定","2026年1月13日","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","2025年11月24日","　１","","964",""
"確定","2026年1月13日","牡蠣と炉端　かき燎","2025年11月24日","　１","","15,235",""
"確定","2026年1月13日","Ｈｉｄｅ　Ｏｕｔ新宿靖国通り店／Ａｉｒ","2025年11月25日","　１","","5,170",""
"確定","2026年1月13日","鳥貴族　新宿区役所通り店","2025年11月25日","　１","","1,560",""
"確定","2026年1月13日","宇田川町魚金","2025年11月26日","　１","","6,950",""
"確定","2026年1月13日","裏の山の木の子","2025年11月26日","　１","","20,600",""
"確定","2026年1月13日","東京ガス　１５４３－３０９－１００４","2025年11月26日","　１","","9,227",""
"確定","2026年1月13日","ＡＰＰＬＥ．ＣＯＭ／ＢＩＬＬ","2025年11月29日","　１","","150",""
"確定","2026年1月13日","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","2025年11月30日","　１","","2,632",""
"確定","2026年1月13日","メイクマン恵比寿西口店","2025年11月30日","　１","","8,800",""
"確定","2026年1月13日","ｉＴＳＣＯＭ通信サービス利用料","2025年11月30日","　１","","4,576",""
"確定","2026年1月13日","ＡＷＳ　Ｊａｐａｎ","2025年12月2日","　１","","1,940",""
"確定","2026年1月13日","ＧＯアプリ〔乗車料金〕","2025年12月2日","　１","","2,880",""
"確定","2026年1月13日","E-MART 24  YEOKSAM SEUN / SEOUL","2025年12月2日","　１","","183","　　　　　　１７００　ウオン　　　　　　　　　０．１０７６５"
